SMILES,Potency vs Parasite (uMol),Ion Regulation Activity,SSI%,EC50Chembl(uM)
[C@H](COc1cncc2n1c(nn2)c1ccc(cc1)OC(F)F)(c1cc(c(cc1)F)F)NC,10,,,
[C@H]1([C@@H](N(C1)C1CC1)c1cc(c(cc1)F)F)Oc1cncc2n1c(nn2)c1ccc(cc1)OC(F)F,0.6095,,,
[C@H]1([C@@H](N(C1=O)C1CC1)c1cc(c(cc1)F)F)Oc1cncc2n1c(nn2)c1ccc(cc1)OC(F)F,1.121,,,
[C@H]1([C@H](N(C1)C1CC1)c1ccc(c(c1)F)F)Oc1cncc2nnc(n12)c1ccc(cc1)OC(F)F,0.7308,,,
[C@H]1(C(N([C@@H]1c1cc(c(cc1)F)F)C1CC1)=O)Oc1ncc2n(c1)c(nn2)c1ccc(cc1)OC(F)F,10,,,
[H]N(C1=NN=C(C2=CC=CC=C2)S1)C3=NC(OCCC4=CC=C(F)C=C4)=CN=C3,,,,
[H]N(CC(N)=O)C,,,,
[n+]1(C)c2c(cccc2)nc(ccc(NCCO)c3)c13,0.296,0,,
[O-][N+](=O)c1ccc(C=NNc2nc3ccccc3[nH]2)cc1,0.142,0,,0.480924229
[O-][N+](=O)c1cn2C[C@@H](COc2n1)OCc3ccc(OC(F)(F)F)cc3,,,,
[O-][N+](=O)c1nccn1CC(=O)NCc2ccccc2,,,,
BrC1=CC2=NC=NC(N)=C2S1,,,22,
BrC1=CC2=NC=NC(NN)=C2S1,,,14,
Brc1c(nc2ncccn12)c3ccc4OCOc4c3,,,,
Brc1ccc(C=CC2=NC(=O)c3ccccc3O2)cc1,,0,,1.051940014
Brc1ccc(cc1)c2cc3C(=O)c4ccccc4c3nn2,1.07,0,,2.499
Brc1ccc(cc1)c2oc(cc2)C(=O)Nc3ccc(CN4CCOCC4)cc3,1.36,0,,1.120307298
Brc1ccc(cc1)S(=O)(=O)N2CCC(CC2)C(=O)NCc3occc3,0.939,0,,0.362
Brc1ccc(Nc2nc3ccccc3nc2Nc4ccc(Br)cc4)cc1,1.061,0,,0.795711249
Brc1ccc2NC(=O)C3(NCCc4c3[nH]c5ccccc45)c2c1,0.5,1,,
Brc1ccc2OCC(=Cc2c1)C(=O)NCCCN3CCC(CC3)N4CCCCC4,0.563,0,,0.853221524
