COMPOUNDCODE,Potency vs Parasite (uMol),Ion Regulation Activity,SSI%,EC50Chembl(uM),q137,q481,q458,frg-54,q300,q457,q155,q192,frg-26,q139,q277,q485,q453,frg-8,Nn,q358,q483,q257,H1a,ed80,C21,ed70,f407,S3,C24,HydrophobicGroup,ed20,ew80,ew30,C20,ew90,ew40,ew20,f004,C5,ew100,C22,ed60,ed50,ew50,f007,ed40,f015,C23,ew75,f147,f245,f301,f005,ew60,f390,f244,f392,ew10,f393,ew70,f456,f443,f441,f444,q017,q039,q040,q041,f413,f440,O10,C9,N1,HDT,S2,C8,C27,AliRingAttachment,C26,N13,C6,BasicGroup,HDO,H2,O6,N14,C10,N8,C25,C13,N11,C3,N12,HAN,C2,O3,O9,AroRingAttachment,HDN,HAT,C1,N7,N10,O7,HAS,N6,C4,H4,O11,C11,N2,AcidGroup,O5,PRX-time2,C12,H3,HAO,xccn-t12,nOS,nCOOH,sNH3+,dCH2,sNH2,ssNH2+,nX,zw3,t-16-1,nC(sp2),sulphonamide-t5,thio-acid,t-16-2,nOH,tert-amine-t11,dsCH,aaCH,sssCH,ddC,thio-keto,tsC,dssC,urea-thio,zw1,nC(sp3),nCO,urea,ssCH2,tCH,aasC,aaaC,t-16-3,nNprot,zw2,ssssC,sBr,dNH,aaN,sssSiH,tN,ddsN,ssssSi,sssN,sOH,ssNH,aasN,dsssP,sSH,ssS,sssssP,sCl,nNneutral,NnH,N4,sssP,NbN,dssS,dsN,ssSiH2,fg5,ssO,CamideNH,aaS,aaNH,ssssN+,sF,sSiH3,sPH2,sssNH+,ssPH,sI,dS,BasicNH0R2AroRings,ddssS,PRX-time1,BasicNH02AroRings,PRX-time-1,NonOrganicAtom,UB,BasicNH1R2AroRings,BasicNH12AroRings,macrocyclic,OverallCharge,HBA-prof,ACamideO-nh0,Aamidine,AbasicNH1,HBD-lip,AbasicNH0,CH0Aa,CH2Aa,CH2link,ERTLNotPSA,CSSC,Ester,HBD-prof,Michael-accept,NBA,NH1and2CdO,ASamideO-nh-nh2,NO,quatN,logP,CH3Aa,NRB,OHCHCdO,Ocarbamate,HaloC,Pamide,ACamideO-nh-nh2,HBA-lip,CH1Aa,CH2hetero,CH2long,ERTLNoSPtPSA,HBD-cam,ASamideO-nh0,Vx,PositiveCharge,AromaticRings,CBr,CH3hetero,CF3,CamideNH0,MW,NegativeCharge,Flex,basic-NH2,benzylicOH,benzdiazepine-ring,RbasicNH1,anycarbonyl,aromI,arylNHCO,RCamideO-nh-nh2,ch2-lipo-t9,dNO,activatedCH,aromCl,RSamideO-nh0,diazo-aryl,diazo,dione-1-4,aliphOH-t6,easy-oxy-t13,ertl-33,amide-dicarbonyl,di-widhraw-cx4,aminoethanol0,Pester,ertl-35,ertl-37,benzdiaz-t18,RSR,Samide-NH,aldehydes,aromO,carbamate-and-thio,SamideNH0,carbonate-carbamate,RCamideO-nh0,Ramidine,aromF,aromBr,branchedCnotRing,aminoethanol1,RSamideO-nh-nh2,RbasicNH0,allylic-oxyd-t10,phenolic-tautomer,poly-sugars,polyOH,ertl-41,ertl-39,hydroxyA,nH0indole-like,ketone-t14,hetero-halo-di-n-arom,ohccn-t17,phenol,halosp3sp3halo,nitro-no-ortho-t15,nc(do)n,nonring-at,pyridine,quinone-type,ring5-nH0,p-hetero-or-halo,nHindole-like,nitro-O,phenol-pyr2r,pyridones,ring5nH,ringOdouble,ringat,ringdiol,ring-join,hindred-phenol,intraHbond6,ether,est-lact-latm-carbm-t7,lipovolume,hydroxylation-t8,ertl-43,ketones,nitro,not-ring-diol,intraHbond5,p-withdraw-phenol,ketal,perfluoro,sp-carbons,spiroC,sulfonicacid,sulphates,sp2-carbons,logS,logS @ pH7.4,logP<1>,logD,2C9 pKi,hERG pIC50,BBB log([brain]:[blood]),BBB category,HIA category,P-gp category,2D6 affinity category,PPB90 category,MW<1>,HBD,HBA,TPSA,Flexibility,Rotatable Bonds
[C@H](COc1cncc2n1c(nn2)c1ccc(cc1)OC(F)F)(c1cc(c(cc1)F)F)NC,10,,,,29,14,18,0,4,6,8,0,0,20,17,9,17,1,5,2,11,4,2,2,1,0,4,0,0,0,0,0,0,3,0,0,0,4,0,1,0,0,0,0,2,2,2,2,0,1,0,7,4,0,4,0,2,2,3,0,4,0,1,0,10,8,9,10,2,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,2,0,5,0,0,0,9,1,7,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,1,2,1,2,0,0,0,0,0,4,0,0,17,0,0,0,0,0,0,9,2,0,0,0,0,0,0,4,0,0,1,0,7,3,0,1,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,4,1,0,0,5,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,21,0,2,0,4,5,0,0,1,1,0,0,0,0,73.57,0,0,0,0,21,0,0,0,0,3.498,0,13,0,0,0,0,0,7,0,1,0,73.57,0,0,289,4,4,0,1,0,0,447.4,0,0.2286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,3,0,0,0,0,0,0,0,21,0,1,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3084,2.006,3.498,2.496,6.057,6.316,-0.1133,-,+,no,medium,high,447.4,1,7,73.57,0.2286,8
[C@H]1([C@@H](N(C1)C1CC1)c1cc(c(cc1)F)F)Oc1cncc2n1c(nn2)c1ccc(cc1)OC(F)F,0.6095,,,,34,58,25,0,5,7,7,0,0,26,17,23,23,1,5,2,39,4,4,2,1,0,4,0,0,0,0,0,0,3,0,0,0,4,0,1,0,0,0,0,2,2,2,2,0,0,0,7,4,0,4,0,2,2,3,0,4,0,0,0,5,8,17,32,2,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,4,1,0,5,0,0,0,9,0,7,2,1,0,0,0,0,4,0,0,1,0,0,0,0,0,0,2,0,2,0,0,0,0,0,4,0,0,17,0,0,0,0,1,0,9,4,0,0,0,0,0,0,7,0,0,3,0,7,3,0,1,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,5,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,2,0,0,2,0,0,21,0,0,0,4,5,0,0,0,0,0,0,2,2,64.78,0,0,0,0,21,0,0,0,0,4.508,0,18,0,0,0,0,0,7,0,1,0,64.78,0,0,309.6,4,4,0,0,0,0,485.4,0,0.175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,3,0,0,0,0,0,0,0,28,0,1,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4104,1.575,4.508,3.564,5.68,7.155,-0.03641,-,+,yes,very high,high,485.4,0,7,64.78,0.175,7
[C@H]1([C@@H](N(C1=O)C1CC1)c1cc(c(cc1)F)F)Oc1cncc2n1c(nn2)c1ccc(cc1)OC(F)F,1.121,,,,37,58,25,0,6,8,7,8,0,28,18,23,28,1,5,3,39,5,4,2,1,0,4,0,0,0,0,0,0,3,0,0,0,4,1,1,0,0,0,0,2,2,2,2,0,0,0,11,4,0,4,0,2,2,3,0,4,0,0,0,5,8,17,32,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,1,9,0,8,2,1,0,0,0,0,4,0,0,1,0,0,0,0,0,0,3,0,2,0,0,0,0,0,4,0,0,17,0,0,0,0,0,0,9,4,0,0,0,1,0,0,6,1,0,2,0,7,3,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,23,0,0,0,3,6,0,0,0,0,0,0,2,2,81.85,0,0,0,0,21,0,0,0,0,4.058,0,18,0,0,0,0,0,8,0,0,0,81.85,0,0,311.1,3,4,0,0,0,1,499.4,0,0.1707,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,3,0,0,0,0,0,0,1,28,0,1,0,0,2,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.587,-0.587,4.058,4.058,6.035,6.257,-0.7798,-,+,no,very high,high,499.4,0,8,81.85,0.1707,7
[C@H]1([C@H](N(C1)C1CC1)c1ccc(c(c1)F)F)Oc1cncc2nnc(n12)c1ccc(cc1)OC(F)F,0.7308,,,,34,58,25,0,5,7,7,0,0,26,17,23,23,1,5,2,39,4,4,2,1,0,4,0,0,0,0,0,0,3,0,0,0,4,0,1,0,0,0,0,2,2,2,2,0,0,0,7,4,0,4,0,2,2,3,0,4,0,0,0,5,8,17,32,2,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,4,1,0,5,0,0,0,9,0,7,2,1,0,0,0,0,4,0,0,1,0,0,0,0,0,0,2,0,2,0,0,0,0,0,4,0,0,17,0,0,0,0,1,0,9,4,0,0,0,0,0,0,7,0,0,3,0,7,3,0,1,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,5,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,2,0,0,2,0,0,21,0,0,0,4,5,0,0,0,0,0,0,2,2,64.78,0,0,0,0,21,0,0,0,0,4.508,0,18,0,0,0,0,0,7,0,1,0,64.78,0,0,309.6,4,4,0,0,0,0,485.4,0,0.175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,3,0,0,0,0,0,0,0,28,0,1,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4104,1.575,4.508,3.564,5.68,7.155,-0.03641,-,+,yes,very high,high,485.4,0,7,64.78,0.175,7
[C@H]1(C(N([C@@H]1c1cc(c(cc1)F)F)C1CC1)=O)Oc1ncc2n(c1)c(nn2)c1ccc(cc1)OC(F)F,10,,,,36,55,26,0,6,8,7,8,0,28,18,22,31,1,5,3,37,5,4,2,1,0,4,0,0,0,0,0,0,3,0,0,0,5,1,1,0,0,0,0,1,2,2,2,0,0,0,11,5,0,4,0,2,2,3,0,4,0,0,0,5,8,16,31,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,1,9,0,8,2,1,0,0,0,0,4,0,0,1,0,0,0,0,0,0,3,0,2,0,0,0,0,0,4,0,0,17,0,0,0,0,0,0,9,4,0,0,0,1,0,0,6,1,0,2,0,7,3,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,23,0,0,0,3,6,0,0,0,0,0,0,2,2,81.85,0,0,0,0,21,0,0,0,0,4.058,0,18,0,0,0,0,0,8,0,0,0,81.85,0,0,311.1,3,4,0,0,0,1,499.4,0,0.1707,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,3,0,0,0,0,0,0,1,28,0,1,0,0,2,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.587,-0.587,4.058,4.058,6.047,6.303,-0.781,-,+,no,very high,high,499.4,0,8,81.85,0.1707,7
BrC1=CC2=NC=NC(N)=C2S1,,,22,,14,0,8,0,2,3,0,0,0,11,6,0,9,0,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,4,1,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,3,1,0,0,0,1,0,0,0,0,51.8,0,0,0,0,9,0,0,0,0,2.02,0,2,0,0,0,0,0,3,0,0,0,80.04,0,0,120.3,3,2,0,0,0,0,230.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.795,2.511,2.02,0.7741,4.159,4.637,-0.7891,+,+,no,medium,low,230.1,1,3,51.8,0,0
BrC1=CC2=NC=NC(NN)=C2S1,,,14,,16,4,8,0,2,3,1,0,0,12,6,3,10,0,4,1,4,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,1,1,0,1,0,0,0,1,2,3,4,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,4,2,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,6,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,3,2,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,2,1,0,0,0,2,0,0,0,0,63.83,0,0,0,0,9,0,0,0,0,1.867,0,3,0,0,0,0,0,4,0,0,0,92.07,0,0,130.2,2,2,0,0,0,0,245.1,0,0.07692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.975,2.975,1.867,1.867,4.111,4.616,-0.9434,+,+,no,low,low,245.1,2,4,63.83,0.07692,1
C(COc1cncc2n1c(nn2)c1ccc(cc1)OC(F)F)(c1ccc(c(c1)F)F)(F)C,0.1228,,,,29,16,17,0,3,5,7,0,0,20,17,11,15,1,4,2,13,4,1,2,1,0,4,0,0,0,0,0,0,3,0,0,0,4,0,1,0,0,0,0,2,2,2,2,0,0,0,7,4,0,4,0,2,2,6,0,4,1,2,1,12,10,11,12,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,4,0,0,0,9,0,6,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,2,0,2,0,0,0,0,0,5,0,0,17,0,0,0,0,0,0,9,1,0,0,0,0,0,0,4,0,0,1,0,7,3,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,3,5,0,0,0,0,0,0,0,0,61.54,0,0,0,0,21,0,0,0,0,4.153,1,13,0,0,1,0,0,6,0,1,0,61.54,0,0,280.8,3,4,0,0,0,0,450.4,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,3,0,0,0,0,0,0,0,21,0,1,0,0,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5514,-0.5514,4.153,4.153,6.296,6.302,-0.08586,-,+,no,medium,high,450.4,0,6,61.54,0.2,7
C(COc1cncc2n1c(nn2)c1ccc(cc1)OC(F)F)(c1ccc(c(c1)F)F)(O)C,0.1012,,,,29,16,17,0,3,5,7,0,0,20,17,11,15,1,4,3,13,5,1,2,1,0,4,0,0,0,0,0,0,3,0,0,0,4,0,1,0,0,0,0,2,2,2,2,0,0,0,9,4,0,4,0,2,2,3,0,4,1,2,1,12,10,11,12,2,2,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,4,1,0,4,0,0,0,9,0,7,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,3,0,2,0,0,0,0,0,4,0,0,17,0,0,0,1,0,0,9,1,0,0,0,0,0,0,4,0,0,1,0,7,3,0,0,0,1,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,3,6,0,0,0,1,0,0,0,0,81.77,0,0,1,0,21,0,0,0,0,3.362,1,13,0,0,0,0,0,7,0,1,0,81.77,1,0,284.9,3,4,0,0,0,0,448.4,0,0.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11,0,0,3,0,0,0,0,0,0,0,21,0,1,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1189,0.1189,3.362,3.362,6.256,5.994,-0.4545,-,+,no,medium,high,448.4,1,7,81.77,0.2,7
C(COc1cncc2n1c(nn2)c1ccc(cc1)OC(F)F)(c1ccc(c(c1)F)F)F,0.06536,,,,29,14,18,0,3,5,7,0,0,20,17,9,17,1,4,2,11,4,2,2,1,0,4,0,0,0,0,0,0,3,0,0,0,4,0,1,0,0,0,0,2,2,2,2,0,0,0,7,4,0,4,0,2,2,4,0,5,0,0,0,9,8,9,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,4,0,0,0,9,0,6,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,2,0,2,0,0,0,0,0,5,0,0,17,0,0,0,0,0,0,9,2,0,0,0,0,0,0,3,0,0,1,0,7,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,3,5,0,0,0,0,0,0,0,0,61.54,0,0,0,0,21,0,0,0,0,3.907,0,12,0,0,1,0,0,6,0,1,0,61.54,0,0,266.7,3,4,0,0,0,0,436.3,0,0.2059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,3,0,0,0,0,0,0,0,21,0,1,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.3371,-0.3371,3.907,3.907,6.034,6.387,-0.09995,-,+,no,medium,high,436.3,0,6,61.54,0.2059,7
