COMPOUNDCODE,Aamidine,AbasicNH0,AbasicNH1,AcidGroup,AliRingAttachment,AroRingAttachment,AromaticRings,BasicGroup,BasicNH02AroRings,BasicNH0R2AroRings,BasicNH12AroRings,BasicNH1R2AroRings,C1,C10,C11,C12,C13,C2,C20,C21,C22,C23,C24,C25,C26,C27,C3,C4,C5,C6,C8,C9,CBr,CF3,CH0Aa,CH1Aa,CH2Aa,CH2hetero,CH2link,CH2long,CH3Aa,CH3hetero,CSSC,CamideNH,CamideNH0,Ester,Flex,H1a,H2,H3,H4,HAN,HAO,HAS,HAT,HDN,HDO,HDT,HaloC,HydrophobicGroup,MW,N1,N10,N11,N12,N13,N14,N2,N4,N6,N7,N8,NBA,NH1and2CdO,NRB,NbN,NegativeCharge,Nn,NnH,O10,O11,O3,O5,O6,O7,O9,OHCHCdO,Ocarbamate,OverallCharge,Pamide,Pester,PositiveCharge,RSR,Ramidine,RbasicNH0,RbasicNH1,S2,S3,SamideNH0,UB,Vx,aaCH,aaN,aaNH,aaS,aaaC,aasC,aasN,activatedCH,aldehydes,anycarbonyl,aromBr,aromCl,aromF,aromI,aromO,arylNHCO,benzylicOH,dCH2,dNH,dS,ddC,ddsN,ddssS,diazo,dsCH,dsN,dssC,dssS,dsssP,ed20,ed40,ed50,ed60,ed70,ed80,ether,ew10,ew100,ew20,ew30,ew40,ew50,ew60,ew70,ew75,ew80,ew90,f004,f005,f007,f015,f147,f244,f245,f301,f390,f392,f393,f407,f413,f440,f441,f443,f444,f456,fg5,halosp3sp3halo,hydroxyA,intraHbond5,intraHbond6,ketal,ketones,lipovolume,logP,macrocyclic,nC(sp2),nC(sp3),nCO,nCOOH,nNneutral,nNprot,nX,nc(do)n,nitro,perfluoro,polyOH,pyridine,pyridones,q017,q039,q040,q041,q137,q139,q155,q192,q257,q277,q300,q358,q453,q457,q458,q481,q483,q485,quatN,ring5nH,ringOdouble,ringat,ringdiol,sBr,sCl,sF,sI,sNH2,sOH,sPH2,sSH,sSiH3,spiroC,ssCH2,ssNH,ssO,ssPH,ssS,ssSiH2,sssCH,sssN,sssP,sssSiH,ssssC,ssssSi,sssssP,sulfonicacid,sulphates,tCH,tN,tsC,urea,zw1,zw2,zw3,0,00rganicAtom,0H,0S,0nring0at,0t0ring0diol,2C9 pKi,2D6 affinity category,ACamideO0nh0,ACamideO0nh0nh2,ASamideO0nh0,ASamideO0nh0nh2,BBB category,BBB log([brain]:[blood]),ERTL0SPtPSA,ERTL0tPSA,Flexibility,HBA,HBA0lip,HBA0prof,HBD,HBD0cam,HBD0lip,HBD0prof,HIA category,Michael0accept,P0gp category,PPB90 category,PRX0time01,PRX0time1,PRX0time2,RCamideO0nh0,RCamideO0nh0nh2,RSamideO0nh0,RSamideO0nh0nh2,Rotatable Bonds,Samide0NH,TPSA,aliphOH0t6,allylic0oxyd0t10,ami0etha0l0,ami0etha0l1,amide0dicarbonyl,basic0NH2,benzdiaz0t18,benzdiazepine0ring,branchedC0tRing,carbamate0and0thio,carbonate0carbamate,ch20lipo0t9,d0,di0widhraw0cx4,diazo0aryl,dione0104,easy0oxy0t13,ertl033,ertl035,ertl037,ertl039,ertl041,ertl043,est0lact0latm0carbm0t7,frg026,frg054,frg08,hERG pIC50,hetero0halo0di0n0arom,hindred0phe0l,hydroxylation0t8,ketone0t14,logD,logS,logS @ pH7.4,nH0indole0like,nHindole0like,nitro000ortho0t15,nitro0O,ohccn0t17,p0hetero0or0halo,p0withdraw0phe0l,phe0l,phe0l0pyr2r,phe0lic0tautomer,poly0sugars,qui0ne0type,ring0join,ring50nH0,sNH31,sp0carbons,sp20carbons,ssNH21,sssNH1,ssssN1,sulphonamide0t5,t01601,t01602,t01603,tert0amine0t11,thio0acid,thio0keto,urea0thio,xccn0t12,zz_EC50Chembl(uM),zz_Ion_Regulation_Activity,zz_Potency_Parasite (uMol),zz_SSI%
[C@H]1([C@@H](N(C1)C1CC1)c1cc(c(cc1)F)F)Oc1cncc2n1c(nn2)c1ccc(cc1)OC(F)F,0,0,0,0,4,9,4,1,2,2,0,0,2,0,1,0,0,0,3,1,0,2,0,0,0,0,1,4,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0.175,4,0,0,0,5,2,0,7,0,0,0,0,0,485.4,0,0,4,0,0,0,0,0,0,1,0,21,0,18,5,0,5,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,1,0,0,0,0,21,309.6,9,4,0,0,3,7,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2,2,1,0,0,0,0,0,0,0,0,0,4,4,2,2,0,0,0,7,4,2,3,4,2,0,0,0,0,4,0,0,0,0,0,0,0,5,4.508,0,17,7,0,0,4,1,4,0,0,0,0,0,0,5,8,17,32,34,26,7,0,4,17,5,2,23,7,25,58,39,23,0,0,0,28,0,0,0,4,0,0,0,0,0,0,0,3,0,2,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,5.68,4,0,0,0,0,0,0.036410000000000005,64.78,64.78,0.175,7,7,5,0,0,0,0,1,0,1,3,0,0,0,0,0,0,0,7,0,64.78,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,7.155,0,0,0,0,3.564,0.4104,1.575,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,6.215026290045599,
[C@H]1([C@@H](N(C1=O)C1CC1)c1cc(c(cc1)F)F)Oc1cncc2n1c(nn2)c1ccc(cc1)OC(F)F,0,0,0,0,5,9,4,0,0,0,0,0,2,0,1,0,0,0,3,1,0,2,0,0,0,0,0,4,1,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,1,0,0.1707,4,0,0,0,5,3,0,8,0,0,0,0,0,499.4,0,0,4,0,0,0,0,0,0,1,0,21,0,18,5,0,5,0,0,0,0,0,0,0,1,0,0,3,0,0,3,0,0,0,0,0,0,0,23,311.1,9,4,0,0,3,7,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,2,2,2,1,0,0,0,0,0,0,0,0,0,4,4,2,2,0,0,0,11,4,2,3,4,2,0,0,0,0,4,0,0,0,0,0,0,0,5,4.058,0,17,6,1,0,5,0,4,0,0,0,0,0,0,5,8,17,32,37,28,7,8,5,18,6,3,28,8,25,58,39,23,0,0,1,28,0,0,0,4,0,0,0,0,0,0,0,2,0,2,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,0,6.035,4,0,0,0,0,0,0.7798,81.85,81.85,0.1707,8,8,6,0,0,0,0,1,0,0,3,1,0,0,1,0,0,0,7,0,81.85,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,6.2570000000000014,0,0,0,0,4.058,0.5870000000000001,0.5870000000000001,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,5.9503943874050265,
BrC1=CC2=NC=NC(N)=C2S1,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,3,0,1,4,1,0,1,0,0,230.1,0,0,2,0,0,0,0,0,0,0,0,9,0,2,3,0,3,1,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,1,0,9,120.3,2,2,0,0,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2.02,0,6,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,14,11,0,0,0,6,2,1,9,3,8,0,0,0,0,0,0,9,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,4.159,1,0,0,0,0,1,0.7891,80.04,51.8,0.0,3,3,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,51.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.637,0,0,0,0,0.7741,2.795,2.511,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,-1.265666373331276
C(COc1cncc2n1c(nn2)c1ccc(cc1)OC(F)F)(c1ccc(c(c1)F)F)(F)C,0,0,0,0,0,9,4,0,0,0,0,0,1,0,0,1,0,0,3,1,0,2,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.2,1,0,0,0,4,2,0,6,0,0,0,1,0,450.4,0,0,4,0,0,0,0,0,0,0,0,21,0,13,4,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,21,280.8,9,4,0,0,3,7,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2,2,1,0,0,0,0,0,0,0,0,0,4,4,2,2,0,0,0,7,4,2,6,4,2,2,2,1,1,4,0,0,0,0,0,0,0,6,4.1530000000000005,0,17,4,0,0,4,0,5,0,0,0,0,0,0,12,10,11,12,29,20,7,0,4,17,3,2,15,5,17,16,13,11,0,0,0,21,0,0,0,5,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11,0,6.296,1,0,0,0,0,0,0.08586,61.54,61.54,0.2,6,6,5,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,7,0,61.54,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,6.3020000000000005,0,0,0,0,4.1530000000000005,0.5514,0.5514,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,6.910801633194852,
C(COc1cncc2n1c(nn2)c1ccc(cc1)OC(F)F)(c1ccc(c(c1)F)F)(O)C,0,0,0,0,0,9,4,0,0,0,0,0,1,0,0,1,0,0,3,1,0,2,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.2,1,1,0,0,4,3,0,7,0,1,1,0,0,448.4,0,0,4,0,0,0,0,0,0,0,0,21,0,13,4,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,21,284.9,9,4,0,0,3,7,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2,2,1,0,0,0,0,0,0,0,0,0,4,4,2,2,0,0,0,9,4,2,3,4,2,2,2,1,1,4,0,0,1,0,0,0,0,5,3.362,0,17,4,0,0,4,0,4,0,0,0,0,0,0,12,10,11,12,29,20,7,0,5,17,3,3,15,5,17,16,13,11,0,0,0,21,0,0,0,4,0,0,1,0,0,0,0,1,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,11,0,6.256,1,0,0,0,0,0,0.4545,81.77,81.77,0.2,7,7,6,1,1,1,1,1,0,0,3,0,0,0,0,0,0,0,7,0,81.77,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5.994,0,0,0,0,3.362,0.1189,0.1189,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,6.99481948749622,
C(COc1cncc2n1c(nn2)c1ccc(cc1)OC(F)F)(c1ccc(c(c1)F)F)F,0,0,0,0,0,9,4,0,0,0,0,0,0,0,1,0,0,0,3,1,0,2,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.2059,2,0,0,0,4,2,0,6,0,0,0,1,0,436.3,0,0,4,0,0,0,0,0,0,0,0,21,0,12,4,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,21,266.7,9,4,0,0,3,7,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2,2,1,0,0,0,0,0,0,0,0,0,4,4,2,2,0,0,0,7,4,2,4,4,2,0,0,0,0,5,0,0,0,0,0,0,0,5,3.907,0,17,3,0,0,4,0,5,0,0,0,0,0,0,9,8,9,10,29,20,7,0,4,17,3,2,17,5,18,14,11,9,0,0,0,21,0,0,0,5,0,0,0,0,0,0,0,1,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,0,6.034,1,0,0,0,0,0,0.09995,61.54,61.54,0.2059,6,6,5,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,7,0,61.54,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,6.3870000000000005,0,0,0,0,3.907,0.3371,0.3371,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,7.184687956475642,
C=1\NC(c2n(/C1/OCCc1cc(c(cc1)F)F)c(nn2)c1ccc(cc1)OC(F)F)=O,0,0,0,0,0,9,4,0,0,0,0,0,0,1,0,0,0,0,3,1,0,2,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0.2059,1,0,0,0,3,3,0,6,1,0,1,0,0,434.3,0,0,4,0,0,0,0,0,0,0,0,21,0,11,4,0,3,1,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,22,270.8,8,3,1,0,3,7,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,2,2,1,0,0,0,0,0,0,0,0,0,4,4,2,2,0,0,0,8,4,2,3,4,2,0,0,0,0,4,0,0,0,0,0,0,0,5,2.837,0,16,3,1,0,4,0,4,0,0,0,0,0,1,7,6,7,8,30,21,7,0,5,17,4,3,20,6,18,12,9,7,0,0,0,21,0,0,0,4,0,0,0,0,0,0,0,2,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,0,6.002999999999999,3,0,0,0,0,0,0.9596,81.51,81.51,0.2059,7,7,6,1,1,1,1,1,0,0,3,0,0,0,0,0,0,0,7,0,81.51,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,6.102,0,0,0,0,2.837,0.2135,0.2135,0,0,0,0,0,0,0,0,0,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,5.384049948343598,
C1(C(C=CC=C2)=C2[N]3)=C3C4(CCN(CC5=CC=C(OCCO6)C6=C5)CC4)OCC1,0,0,0,0,1,7,3,1,2,2,0,0,2,2,0,1,0,0,2,3,0,2,0,0,0,0,6,1,0,0,0,0,0,0,0,0,3,6,8,0,0,0,0,0,0,0,0.05882,0,0,0,0,1,3,0,4,0,0,0,0,0,389.5,0,0,1,0,0,0,0,0,0,1,0,15,0,18,2,0,2,0,0,0,1,0,0,0,0,0,0,2,0,0,2,0,0,1,0,0,0,0,15,289.2,7,1,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,3,0,1,0,0,0,0,0,0,0,0,0,2,2,1,0,0,1,0,2,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,4,3.051,0,14,10,0,0,1,1,0,0,0,0,0,0,0,1,14,27,49,22,17,2,0,0,14,2,3,14,2,18,87,57,35,0,0,0,28,0,0,0,0,0,0,0,0,0,0,1,9,0,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,5.109,3,0,0,0,0,0,0.2749,30.93,30.93,0.05882,5,5,4,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,30.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.832999999999998,0,0,0,0,3.071,1.715,0.9444,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,-0.8001193001121131
c1(C(NCc2cncc3n2c(nn3)c2ccc(cc2)OC(F)F)=O)cc(ccc1)Cl,0,0,0,0,0,8,4,0,0,0,0,0,0,1,0,0,0,0,3,2,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.2121,1,0,1,0,5,2,0,7,1,0,1,0,0,429.8,0,0,4,0,0,0,1,0,0,0,0,21,0,10,5,0,5,1,1,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,23,279.3,10,4,0,0,3,6,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,2,2,2,1,0,0,0,10,2,1,2,2,1,0,0,0,0,3,0,0,0,0,0,0,0,6,3.053,0,17,2,1,0,5,0,3,0,0,0,0,0,0,9,6,7,8,27,18,7,4,3,18,4,2,17,6,17,12,9,7,0,0,0,21,0,0,1,2,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,5.852,3,0,1,0,0,0,0.3328,81.41,81.41,0.2121,7,7,5,1,1,1,1,1,0,0,3,1,0,0,0,0,0,0,7,0,81.41,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5.147,0,0,0,0,3.053,0.6003,0.6003,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,5.0,
C1(C2(CCN(CC3=CC=CC=C3)CC2)OCC4)=C4C=CS1,0,0,0,0,1,3,2,1,1,1,0,0,2,2,0,1,0,0,0,3,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,3,4,6,0,0,0,0,0,0,0,0.08333,0,0,0,0,1,1,1,3,0,0,0,0,0,299.4,0,0,0,0,0,0,0,0,0,1,0,11,0,13,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,11,231.7,7,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,6,3.209,0,10,8,0,0,0,1,0,0,0,0,0,0,0,1,10,18,29,14,10,2,0,0,10,0,2,6,0,9,51,37,24,0,0,0,20,0,0,0,0,0,0,0,0,0,0,1,7,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,4.9289999999999985,3,0,0,0,0,1,0.1904,40.71,12.47,0.08333,2,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,12.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.926,0,0,0,0,2.204,2.008,0.7473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,-2.4423470353692043
