COMPOUNDCODE,Aamidine,AbasicNH0,AbasicNH1,AcidGroup,AliRingAttachment,AroRingAttachment,AromaticRings,BasicGroup,BasicNH02AroRings,BasicNH0R2AroRings,BasicNH12AroRings,BasicNH1R2AroRings,C1,C10,C11,C12,C13,C2,C20,C21,C22,C23,C24,C25,C26,C27,C3,C4,C5,C6,C8,C9,CBr,CF3,CH0Aa,CH1Aa,CH2Aa,CH2hetero,CH2link,CH2long,CH3Aa,CH3hetero,CSSC,CamideNH,CamideNH0,Ester,Flex,H1a,H2,H3,H4,HAN,HAO,HAS,HAT,HDN,HDO,HDT,HaloC,HydrophobicGroup,MW,N1,N10,N11,N12,N13,N14,N2,N4,N6,N7,N8,NBA,NH1and2CdO,NRB,NbN,NegativeCharge,Nn,NnH,O10,O11,O3,O5,O6,O7,O9,OHCHCdO,Ocarbamate,OverallCharge,Pamide,Pester,PositiveCharge,RSR,Ramidine,RbasicNH0,RbasicNH1,S2,S3,SamideNH0,UB,Vx,aaCH,aaN,aaNH,aaS,aaaC,aasC,aasN,activatedCH,aldehydes,anycarbonyl,aromBr,aromCl,aromF,aromI,aromO,arylNHCO,benzylicOH,dCH2,dNH,dS,ddC,ddsN,ddssS,diazo,dsCH,dsN,dssC,dssS,dsssP,ed20,ed40,ed50,ed60,ed70,ed80,ether,ew10,ew100,ew20,ew30,ew40,ew50,ew60,ew70,ew75,ew80,ew90,f004,f005,f007,f015,f147,f244,f245,f301,f390,f392,f393,f407,f413,f440,f441,f443,f444,f456,fg5,halosp3sp3halo,hydroxyA,intraHbond5,intraHbond6,ketal,ketones,lipovolume,logP,macrocyclic,nC(sp2),nC(sp3),nCO,nCOOH,nNneutral,nNprot,nX,nc(do)n,nitro,perfluoro,polyOH,pyridine,pyridones,q017,q039,q040,q041,q137,q139,q155,q192,q257,q277,q300,q358,q453,q457,q458,q481,q483,q485,quatN,ring5nH,ringOdouble,ringat,ringdiol,sBr,sCl,sF,sI,sNH2,sOH,sPH2,sSH,sSiH3,spiroC,ssCH2,ssNH,ssO,ssPH,ssS,ssSiH2,sssCH,sssN,sssP,sssSiH,ssssC,ssssSi,sssssP,sulfonicacid,sulphates,tCH,tN,tsC,urea,zw1,zw2,zw3,0,00rganicAtom,0H,0S,0nring0at,0t0ring0diol,2C9 pKi,2D6 affinity category,ACamideO0nh0,ACamideO0nh0nh2,ASamideO0nh0,ASamideO0nh0nh2,BBB category,BBB log([brain]:[blood]),ERTL0SPtPSA,ERTL0tPSA,Flexibility,HBA,HBA0lip,HBA0prof,HBD,HBD0cam,HBD0lip,HBD0prof,HIA category,Michael0accept,P0gp category,PPB90 category,PRX0time01,PRX0time1,PRX0time2,RCamideO0nh0,RCamideO0nh0nh2,RSamideO0nh0,RSamideO0nh0nh2,Rotatable Bonds,Samide0NH,TPSA,aliphOH0t6,allylic0oxyd0t10,ami0etha0l0,ami0etha0l1,amide0dicarbonyl,basic0NH2,benzdiaz0t18,benzdiazepine0ring,branchedC0tRing,carbamate0and0thio,carbonate0carbamate,ch20lipo0t9,d0,di0widhraw0cx4,diazo0aryl,dione0104,easy0oxy0t13,ertl033,ertl035,ertl037,ertl039,ertl041,ertl043,est0lact0latm0carbm0t7,frg026,frg054,frg08,hERG pIC50,hetero0halo0di0n0arom,hindred0phe0l,hydroxylation0t8,ketone0t14,logD,logS,logS @ pH7.4,nH0indole0like,nHindole0like,nitro000ortho0t15,nitro0O,ohccn0t17,p0hetero0or0halo,p0withdraw0phe0l,phe0l,phe0l0pyr2r,phe0lic0tautomer,poly0sugars,qui0ne0type,ring0join,ring50nH0,sNH31,sp0carbons,sp20carbons,ssNH21,sssNH1,ssssN1,sulphonamide0t5,t01601,t01602,t01603,tert0amine0t11,thio0acid,thio0keto,urea0thio,xccn0t12,zz_EC50Chembl(uM),zz_Ion_Regulation_Activity,zz_Potency_Parasite (uMol),zz_SSI%
BrC1=CC2=NC=NC(N)=C2S1,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,3,0,1,4,1,0,1,0,0,230.1,0,0,2,0,0,0,0,0,0,0,0,9,0,2,3,0,3,1,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,1,0,9,120.3,2,2,0,0,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2.02,0,6,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,14,11,0,0,0,6,2,1,9,3,8,0,0,0,0,0,0,9,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,4.159,1,0,0,0,0,1,0.7891,80.04,51.8,0.0,3,3,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,51.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.637,0,0,0,0,0.7741,2.795,2.511,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,-1.2656663733312759
BrC1=CC2=NC=NC(NN)=C2S1,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07692,0,0,1,0,4,0,1,5,2,0,2,0,0,245.1,1,0,2,0,0,0,0,1,0,0,0,9,0,3,4,0,4,2,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,1,0,9,130.2,2,2,0,0,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.867,0,6,0,0,0,3,1,1,0,0,0,0,0,0,1,2,3,4,16,12,1,0,0,6,2,1,10,3,8,4,4,3,0,0,0,9,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,4.111000000000001,0,0,0,0,0,1,0.9434,92.07,63.83,0.07692,4,4,1,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,63.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.6160000000000005,0,0,0,0,1.867,2.975,2.975,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,-1.8152899666382492
Brc1ccc(C=CC2=NC(=O)c3ccccc3O2)cc1,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09091,2,0,0,0,1,2,0,3,0,0,0,0,0,328.2,0,0,1,0,0,0,0,0,0,0,0,16,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,19,204.2,8,1,0,0,2,3,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1,0,0,2,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,9,3.65,0,15,0,1,0,1,0,1,0,0,0,0,0,1,2,0,0,0,12,8,2,5,1,16,2,2,6,2,12,0,0,0,0,0,0,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,5.165,1,0,0,0,0,1,0.3581,43.1,43.1,0.09091,3,3,2,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,2,0,43.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.585,0,0,0,0,3.65,1.4609999999999999,1.4609999999999999,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5.9779842601822795,0.0,,
Brc1ccc(Nc2nc3ccccc3nc2Nc4ccc(Br)cc4)cc1,0,0,0,0,0,8,4,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1379,0,0,2,0,2,0,0,2,2,0,2,0,0,470.2,0,0,2,0,0,0,0,2,0,0,0,22,0,6,4,0,4,2,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,22,276.8,12,2,0,0,2,6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,1,0,0,4,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,6,5.982,0,20,0,0,0,4,0,2,0,0,0,0,0,0,2,8,8,10,20,18,4,0,0,20,6,0,20,8,16,18,11,8,0,0,0,22,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6.369,3,0,0,0,0,1,0.4522,49.84,49.84,0.1379,4,4,0,2,0,2,0,1,0,1,3,0,0,0,0,0,0,0,4,0,49.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6.8020000000000005,0,0,0,0,5.982,0.365,0.365,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.09925064193892,0.0,5.974284616098659,
Brc1ccc(cc1)S(=O)(=O)N2CCC(CC2)C(=O)NCc3occc3,0,0,0,0,2,3,2,0,0,0,0,0,2,1,0,0,0,1,0,1,0,0,1,0,0,0,3,0,1,0,0,0,0,0,0,0,2,3,4,0,0,0,0,1,0,0,0.2222,1,0,1,0,2,4,0,6,1,0,1,0,0,427.3,0,0,0,0,0,0,1,0,0,1,0,11,0,13,2,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,16,269.3,7,0,0,0,0,3,0,0,0,3,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,2,0,0,0,2,1,0,2,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,2.5580000000000003,0,10,6,1,0,2,0,1,0,0,0,0,0,0,10,4,4,8,26,18,6,12,1,11,4,5,11,1,11,17,10,6,0,0,0,17,0,1,0,0,0,0,0,0,0,0,0,5,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,0,5.119,3,0,1,1,0,0,0.7756,88.0,79.62,0.2222,6,6,4,1,1,1,1,1,0,1,0,3,0,0,0,0,0,0,6,0,79.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,5.018,0,0,0,0,2.5580000000000003,1.7409999999999999,1.7409999999999999,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.441291429466834,0.0,6.027334407733889,
Brc1ccc(cc1)c2cc3C(=O)c4ccccc4c3nn2,0,0,0,0,1,7,3,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04167,0,0,0,0,2,1,0,3,0,0,0,0,0,337.2,0,0,2,0,0,0,0,0,0,0,0,18,0,5,2,0,2,0,1,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,20,207.3,9,2,0,0,4,7,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,4,4,1,0,0,1,0,2,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,4.0969999999999995,0,16,0,1,0,2,0,1,0,0,0,0,0,0,0,4,4,6,17,10,1,8,1,17,2,1,13,2,16,8,7,5,0,0,1,19,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5.772,1,0,0,0,0,1,0.1402,42.85,42.85,0.04167,3,3,1,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,1,0,42.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.855,0,0,0,0,4.0969999999999995,0.1008,0.1008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5.60223374387355,0.0,5.97061622231479,
Brc1ccc(cc1)c2oc(cc2)C(=O)Nc3ccc(CN4CCOCC4)cc3,0,0,0,0,1,6,3,1,2,2,0,0,0,1,0,0,0,0,2,2,1,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,5,4,0,0,0,0,1,0,0,0.1935,0,0,1,0,2,3,0,5,1,0,1,0,0,441.3,0,0,0,0,0,0,0,1,0,1,0,17,0,13,2,0,2,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,19,293.8,10,0,0,0,2,6,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,5,5,1,0,0,0,0,6,2,1,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,6,3.77,0,16,5,1,0,1,1,1,0,0,0,0,0,0,5,6,6,10,17,14,6,5,1,17,2,3,8,2,16,18,13,8,0,0,0,23,0,1,0,0,0,0,0,0,0,0,0,5,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,5.431,1,0,1,0,0,0,0.3106,54.71,54.71,0.1935,5,5,3,1,1,1,1,1,0,1,3,1,0,0,0,0,0,0,6,0,54.71,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5.855,0,0,0,0,3.585,1.771,2.391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,5.950781977329818,0.0,5.866461091629782,
Brc1ccc2NC(=O)C3(NCCc4c3[nH]c5ccccc45)c2c1,0,0,0,0,1,7,3,1,0,0,2,2,0,1,0,1,0,0,2,3,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,2,0,0,0,0,1,0,0,0.0,0,0,2,0,2,1,0,3,3,0,3,0,0,368.2,0,0,1,0,0,0,1,1,0,0,0,15,0,10,3,0,2,3,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,17,229.1,7,0,1,0,2,5,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,2,2,1,0,0,1,0,2,2,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,5,2.9389999999999996,0,14,3,1,0,2,1,1,0,0,0,0,0,0,0,16,28,48,24,15,0,9,1,15,7,1,18,4,18,72,52,33,0,1,1,21,0,1,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5.537000000000001,0,0,0,0,0,1,0.1096,56.92,56.92,0.0,4,4,1,3,2,3,2,1,0,0,0,1,0,0,0,1,0,0,0,0,56.92,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.845,0,0,0,0,1.871,2.2230000000000003,1.68,0,1,0,0,0,2,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,1.0,6.301029995663981,
Brc1ccc2OCC(=Cc2c1)C(=O)NCCCN3CCC(CC3)N4CCCCC4,0,0,0,0,4,3,1,2,2,2,0,0,6,0,0,0,0,0,0,1,0,1,0,0,1,0,7,1,1,1,0,0,0,0,0,0,6,7,12,2,0,0,0,1,0,0,0.2188,2,0,1,0,3,2,0,5,1,0,1,0,1,462.4,0,0,0,0,0,0,1,0,0,2,0,6,0,24,3,0,3,1,0,0,0,0,0,0,1,0,0,2,0,0,2,0,0,2,0,0,0,0,10,329.2,3,0,0,0,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,4,2,0,2,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,3,3.6189999999999998,0,8,14,1,0,1,2,1,0,0,0,0,0,0,7,2,4,10,16,13,7,7,1,9,2,2,11,2,17,13,11,7,0,0,0,22,0,1,0,0,0,0,0,0,0,0,0,13,1,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,4.423,3,0,1,0,0,1,0.0203,44.81,44.81,0.2188,5,5,2,1,1,1,1,1,1,1,3,1,0,0,0,0,0,0,7,0,44.81,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.501,0,0,0,0,2.135,3.423,2.967,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,6.068949153222609,0.0,6.249491605148654,
Brc1cccc(c1)C(=O)Nc2ccc(cc2)c3nc4cc5ccccc5cc4[nH]3,0,0,0,0,0,9,5,0,0,0,0,0,0,0,0,0,0,0,6,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.1212,0,0,1,0,2,1,0,3,2,0,2,0,0,442.3,0,0,2,0,0,0,0,1,0,0,0,25,0,5,3,0,2,2,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,27,292.1,14,1,1,0,6,5,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,2,2,1,0,0,1,0,0,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,5.505,0,23,0,1,0,3,0,1,0,0,0,0,0,0,4,4,4,4,20,13,4,4,1,24,5,1,10,6,22,6,4,4,0,1,0,25,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6.327000000000001,3,0,1,0,0,1,0.09921,57.78,57.78,0.1212,4,4,2,2,2,2,2,1,0,1,3,1,0,0,0,0,0,0,4,0,57.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.664,0,0,0,0,5.505,0.043989999999999994,0.043989999999999994,0,1,0,0,0,0,0,0,0,0,0,0,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.44057220024051,0.0,6.346787486224656,
